image_id,image_path,label,class,source,magnification,width,height,channels,split,md5_hash
histo_00022,histopathology/images/histo_00022.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,8913a9293aff61d6628401ddbf7d0864
histo_00023,histopathology/images/histo_00023.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,val,6ae4de0e40d865749e79f408a687dae2
histo_00024,histopathology/images/histo_00024.png,1,invasive_ductal_carcinoma,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,test,8342c8e081a11dc6e3ecd39e8ed323fb
histo_00025,histopathology/images/histo_00025.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,52f07ddf8270abac76e1e02c71790b7e
histo_00026,histopathology/images/histo_00026.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,25b568c5e5bffbe2e4540b8ac0d42e8b
histo_00027,histopathology/images/histo_00027.png,1,invasive_ductal_carcinoma,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,f6627da89a175d76cf0aa1b96b4117b9
histo_00028,histopathology/images/histo_00028.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,4bc680481b9e57a557ccbd8f417f8a5a
histo_00029,histopathology/images/histo_00029.png,1,invasive_ductal_carcinoma,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,f1eb26a9413bccf1f48d226ec5e1ec99
histo_00030,histopathology/images/histo_00030.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,a37ad08fd1c0027938e333ac4e7dd4af
histo_00031,histopathology/images/histo_00031.png,1,invasive_ductal_carcinoma,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,f582160e490e50f4079b410e326c9c2f
histo_00032,histopathology/images/histo_00032.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,f9fdbf4a1583e6c0dba2f58933a096ea
histo_00033,histopathology/images/histo_00033.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,620c17b5c70ac449a3c487ec3070a70a
histo_00034,histopathology/images/histo_00034.png,1,invasive_ductal_carcinoma,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,val,f6ee99801ec402447f6a4e5772483fbb
histo_00035,histopathology/images/histo_00035.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,d5861d57bf19a45883859c95cb9c2c40
histo_00036,histopathology/images/histo_00036.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,0ab6a8426f1ad162efc12849e07a49ad
histo_00037,histopathology/images/histo_00037.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,val,5df03ed9235e5a9d13a419db4e4550fa
histo_00038,histopathology/images/histo_00038.png,1,invasive_ductal_carcinoma,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,5c8a0345fb43c7d811252abef230265d
histo_00039,histopathology/images/histo_00039.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,val,9ac46cebe54a50b6309652840046255a
histo_00040,histopathology/images/histo_00040.png,1,invasive_ductal_carcinoma,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,9a61c7cae7690891bef0eeff2f92691e
histo_00041,histopathology/images/histo_00041.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,test,1bcd7897621f6498d715c0ac9463e919
histo_00042,histopathology/images/histo_00042.png,1,invasive_ductal_carcinoma,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,f266a7a06d7fe9b6e9c0f7e816a9d398
histo_00043,histopathology/images/histo_00043.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,val,c542b0f756b1acefb2337a29a9b34bb2
histo_00044,histopathology/images/histo_00044.png,1,invasive_ductal_carcinoma,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,2c760b2b11f3bb9b433a0476a00d9bf7
histo_00045,histopathology/images/histo_00045.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,bcfa778410455850925eef15319ee3e7
histo_00046,histopathology/images/histo_00046.png,1,invasive_ductal_carcinoma,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,2d8963f07cd09f0d0ede1fbb7e086e36
histo_00047,histopathology/images/histo_00047.png,1,invasive_ductal_carcinoma,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,2a3d80c8331c722cc08d6d5dd2400781
histo_00048,histopathology/images/histo_00048.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,9c92c5902f8164781416b84845a20e8c
histo_00049,histopathology/images/histo_00049.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,val,0a7c05713834e04b9cf38e0dc579b6a6
histo_00050,histopathology/images/histo_00050.png,1,invasive_ductal_carcinoma,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,test,fe8dba643677bbe3dc07c589031e926c
histo_00051,histopathology/images/histo_00051.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,66b1bb165bf1a92d63bcdaec40caaf4a
histo_00052,histopathology/images/histo_00052.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,val,bd6fc83fe37a9bd43fa16eec47285638
histo_00053,histopathology/images/histo_00053.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,268efd16b239dd17a9d23ffec9719e30
histo_00054,histopathology/images/histo_00054.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,03d0817ebd75f703d32d95ec20f1cde8
histo_00055,histopathology/images/histo_00055.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,96722eb5c3440c7d33a8c120a162ac6a
histo_00056,histopathology/images/histo_00056.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,91798598afcfb6b2c83926d5ed70260c
histo_00057,histopathology/images/histo_00057.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,99dd03b7d9f73e08695fdf744c2d3bf2
histo_00058,histopathology/images/histo_00058.png,1,invasive_ductal_carcinoma,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,d12d8422910a0e0b7e006e1b4de0a82f
histo_00059,histopathology/images/histo_00059.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,val,3d241aebf11cf104d4197b8d63e2b11a
histo_00060,histopathology/images/histo_00060.png,1,invasive_ductal_carcinoma,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,3f3519bdc20caa48b9a5d198b602979f
histo_00061,histopathology/images/histo_00061.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,test,83d74bc11b30bab20f02ffb86125139c
histo_00062,histopathology/images/histo_00062.png,1,invasive_ductal_carcinoma,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,aef58df037d00815449d82d87a21e732
histo_00063,histopathology/images/histo_00063.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,ee8222480aac9dec4458afd6eec7e83a
histo_00064,histopathology/images/histo_00064.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,test,d7a41b4c5cdda0c548118083de13d1c8
histo_00065,histopathology/images/histo_00065.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,5568274be212092eda75abf3f655b13d
histo_00066,histopathology/images/histo_00066.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,736ae9677b8135618e64ce234423b3a7
histo_00067,histopathology/images/histo_00067.png,1,invasive_ductal_carcinoma,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,0f3fbbe561c61956f3a018c4ecd4c777
histo_00068,histopathology/images/histo_00068.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,af6922e367c51f223e32b0e15d6c22c8
histo_00069,histopathology/images/histo_00069.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,fdcd8bee1b755c1e4f7e74faeb91e299
histo_00070,histopathology/images/histo_00070.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,26444d7c2761615b023273932f8236a0
histo_00071,histopathology/images/histo_00071.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,bf703e856ad24f23303b5a7177596684
histo_00072,histopathology/images/histo_00072.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,test,6f6360c1efa0dbeda7a29c40624f60a6
histo_00073,histopathology/images/histo_00073.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,test,d67011fc8aea3f395feebb9b4634cbce
histo_00074,histopathology/images/histo_00074.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,ac3ee49799fb42a86207981441b6b7eb
histo_00075,histopathology/images/histo_00075.png,1,invasive_ductal_carcinoma,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,88dc8661be3383553c96dae387a0dfb4
histo_00076,histopathology/images/histo_00076.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,789528e7a972b7f9eb92541d44caaf12
histo_00077,histopathology/images/histo_00077.png,1,invasive_ductal_carcinoma,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,6c0d85a806a5a728bd5ca13f7e8f6a66
histo_00078,histopathology/images/histo_00078.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,test,3c9e0b3b4bbcd4a9dd049e3e2339c071
histo_00079,histopathology/images/histo_00079.png,1,invasive_ductal_carcinoma,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,40090e0ef4f1eac3863fc5b566dfffe5
histo_00080,histopathology/images/histo_00080.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,87caac3a69603bdf10fc2b8cda9d8ef1
histo_00081,histopathology/images/histo_00081.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,val,fc8b00f7da73ee57c697382205889678
histo_00082,histopathology/images/histo_00082.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,2721e69035582ad44bcb2f17cf235b5d
histo_00083,histopathology/images/histo_00083.png,1,invasive_ductal_carcinoma,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,val,fb96a229a5348dc34d072d6252d5992b
histo_00084,histopathology/images/histo_00084.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,57fd3574ad6c87337d057867483d3841
histo_00085,histopathology/images/histo_00085.png,1,invasive_ductal_carcinoma,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,74efb00c28d798e370f1506127821371
histo_00086,histopathology/images/histo_00086.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,val,a52ccf7b1e3ca900f19372fd8be9f4ae
histo_00087,histopathology/images/histo_00087.png,1,invasive_ductal_carcinoma,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,val,2f5358a459e965d3f3afde2b9eb1a048
histo_00088,histopathology/images/histo_00088.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,7367aeefc265258fbac028fa5ac17da9
histo_00089,histopathology/images/histo_00089.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,val,6d72720f1b6525bb96aab6cebf389d2c
histo_00090,histopathology/images/histo_00090.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,val,b98ff8cacfdf4037e0e9f97cd403bcb1
histo_00091,histopathology/images/histo_00091.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,val,38aa95636aae767e148b0325ec0fedfa
histo_00092,histopathology/images/histo_00092.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,ce79c3a571e67f484e6ab659947fde92
histo_00093,histopathology/images/histo_00093.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,28b87e3565fe6168498e6a098dbfb83f
histo_00094,histopathology/images/histo_00094.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,d9884cfb6f80963b3172d7b256244e48
histo_00095,histopathology/images/histo_00095.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,6d4e43b1f3922cf377e5194f5a950741
histo_00096,histopathology/images/histo_00096.png,1,invasive_ductal_carcinoma,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,6fb93a16e04dfd28546eed89d7a2b3fa
histo_00097,histopathology/images/histo_00097.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,3e163bfd0936174b30a5b648e22a9945
histo_00098,histopathology/images/histo_00098.png,1,invasive_ductal_carcinoma,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,9f8e4fe650fbbb71a49fd951fb271fec
histo_00099,histopathology/images/histo_00099.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,cf0bf232f2feece3c9e0b96299823d5e
histo_00100,histopathology/images/histo_00100.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,ba8163000b9cbdef5b7adba98781e067
histo_00101,histopathology/images/histo_00101.png,1,invasive_ductal_carcinoma,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,val,ef3a44c18726f17f7f183502952e354d
histo_00102,histopathology/images/histo_00102.png,1,invasive_ductal_carcinoma,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,test,a63631e6170fb9f7570e46b0a7e3db06
histo_00103,histopathology/images/histo_00103.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,test,5d3c3866cd4686e15318d79131232a25
histo_00104,histopathology/images/histo_00104.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,val,709697ad373cac0e5e3ba70284542c37
histo_00105,histopathology/images/histo_00105.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,dd4a9bdfb474577a6ae134f56b9b0b89
histo_00106,histopathology/images/histo_00106.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,f9e036e8e15f5222ab288867b550c8a2
histo_00107,histopathology/images/histo_00107.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,7c6815ffc76a3513a5c3a9ea1354a558
histo_00108,histopathology/images/histo_00108.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,bef061090c3c04159e354888d04bba78
histo_00109,histopathology/images/histo_00109.png,1,invasive_ductal_carcinoma,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,d3e9870a0a07b63453091f3f0a794faa
histo_00110,histopathology/images/histo_00110.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,c2c75b2efc821b9cef82d6270491b19c
histo_00111,histopathology/images/histo_00111.png,1,invasive_ductal_carcinoma,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,4d1d8caa2a4e28c7f0f03dd1c0e47b96
histo_00112,histopathology/images/histo_00112.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,test,6a07b548beed4b0336bfb74304a6df79
histo_00113,histopathology/images/histo_00113.png,1,invasive_ductal_carcinoma,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,09b65ff0eeb895d8383e491c7f572ae2
histo_00114,histopathology/images/histo_00114.png,1,invasive_ductal_carcinoma,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,val,ba39e7d2b5d97725831423ebfcc9e992
histo_00115,histopathology/images/histo_00115.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,d5ecf8cd935905dacd6604f7c7aa47d0
histo_00116,histopathology/images/histo_00116.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,40bab2a9226a49b6e4ba90aa9b4196c0
histo_00117,histopathology/images/histo_00117.png,1,invasive_ductal_carcinoma,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,aaf2f2b08e25fe2754ec88deedcf0686
histo_00118,histopathology/images/histo_00118.png,1,invasive_ductal_carcinoma,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,16090242e0cf6f71a21cc1c2cce52c76
histo_00119,histopathology/images/histo_00119.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,val,c2ffd15c66a6e9360422156de6df47df
histo_00120,histopathology/images/histo_00120.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,val,3560721ff7ac69a1539ca69f3af57113
histo_00121,histopathology/images/histo_00121.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,7d818351664c2d2d1727bb1f74df53d8
histo_00122,histopathology/images/histo_00122.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,2a28b8faa971a00a69d53bd08d600fd1
histo_00123,histopathology/images/histo_00123.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,a87f53e9bceff1c77b7acab988bb29dd
histo_00124,histopathology/images/histo_00124.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,val,0dce672df39157900e150229d2dc2c51
histo_00125,histopathology/images/histo_00125.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,test,da3f3b7fd0142abeb7b380f7c50faebb
histo_00126,histopathology/images/histo_00126.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,819a4db81f80882c7da09663c3356e2b
histo_00127,histopathology/images/histo_00127.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,5f21c4c87d97fcfc1626a33fe1cdc460
histo_00128,histopathology/images/histo_00128.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,test,7fa2db1f2b1bf319030878028ccab431
histo_00129,histopathology/images/histo_00129.png,1,invasive_ductal_carcinoma,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,c5f3793eac2bf42283b3f9d5126e4efb
histo_00130,histopathology/images/histo_00130.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,8a93c09c6be2390ac1fb9b3dce5a0e0c
histo_00131,histopathology/images/histo_00131.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,cbbd0a93f1b120348da453b025021237
histo_00132,histopathology/images/histo_00132.png,1,invasive_ductal_carcinoma,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,ac84eb6474b8bb2f2895f1099fb995d3
histo_00133,histopathology/images/histo_00133.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,test,8d1acbd10dbc84a4110e6a04d9f4e04c
histo_00134,histopathology/images/histo_00134.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,val,4bf05cd4e36080538c7422bdd3c79db1
histo_00135,histopathology/images/histo_00135.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,c9e49cfc359c3f6e57501a56384080b2
histo_00136,histopathology/images/histo_00136.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,f93cc5644e48a3b716b0ec5ae38cf519
histo_00137,histopathology/images/histo_00137.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,ddc7eaa1fcf65d74680b1069eb195402
histo_00138,histopathology/images/histo_00138.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,60171caf33979f596e5ab61a8a00edb8
histo_00139,histopathology/images/histo_00139.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,b8e615ad8fa407e3350c725bb768313f
